id,chapter,end_time,number,page,publication.id,resource.id,start_time,text,uri
f-cea3e7b7-90,,,,,cea3e7b7,HVT-0071,,,https://fortunoff.aviaryplatform.com/r/4b2x34mn6j
f-cea3e7b7-91,,,,,cea3e7b7,HVT-0503,,,https://fortunoff.aviaryplatform.com/r/9s1kh0f08j
f-cbcbe41a-92,,,,,cbcbe41a,HVT-0071,,,https://fortunoff.aviaryplatform.com/r/4b2x34mn6j
f-cbcbe41a-93,,,,,cbcbe41a,HVT-0206,,,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
f-cbcbe41a-94,,,,,cbcbe41a,HVT-0094,,,https://fortunoff.aviaryplatform.com/r/vd6nz80z8m
f-cbcbe41a-95,,,,,cbcbe41a,HVT-0107,,,https://fortunoff.aviaryplatform.com/r/c53dz03438
f-cbcbe41a-96,,,,,cbcbe41a,HVT-1125,,,https://fortunoff.aviaryplatform.com/r/n58cf9jf0w
f-cbcbe41a-97,,,,,cbcbe41a,HVT-0224,,,https://fortunoff.aviaryplatform.com/r/zc7rn30h80
f-cbcbe41a-98,,,,,cbcbe41a,HVT-1681,,,https://fortunoff.aviaryplatform.com/r/p55db7vz04
f-cbcbe41a-99,,,,,cbcbe41a,HVT-2342,,,https://fortunoff.aviaryplatform.com/r/9w08w3856g
f-cbcbe41a-100,,,,,cbcbe41a,HVT-0934,,,https://fortunoff.aviaryplatform.com/r/251fj29b1q
f-cbcbe41a-101,,,,,cbcbe41a,HVT-1394,,,https://fortunoff.aviaryplatform.com/r/mg7fq9qc3m
f-cbcbe41a-102,,,,,cbcbe41a,HVT-4298,,,https://fortunoff.aviaryplatform.com/r/3f4kk94b2w
f-542f617f-103,,,,,542f617f,HVT-0071,,,https://fortunoff.aviaryplatform.com/r/4b2x34mn6j
f-542f617f-104,,,,,542f617f,HVT-0206,,,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
f-542f617f-105,,,,,542f617f,HVT-0094,,,https://fortunoff.aviaryplatform.com/r/vd6nz80z8m
f-542f617f-106,,,,,542f617f,HVT-1126,,,https://fortunoff.aviaryplatform.com/r/930ns0kz17
f-307ded74-107,,,,,307ded74,HVT-1125,,,https://fortunoff.aviaryplatform.com/r/n58cf9jf0w
f-307ded74-108,,,,,307ded74,HVT-0071,,,https://fortunoff.aviaryplatform.com/r/4b2x34mn6j
f-307ded74-109,,,,,307ded74,HVT-0224,,,https://fortunoff.aviaryplatform.com/r/zc7rn30h80
f-307ded74-110,,,,,307ded74,HVT-0664,,,https://fortunoff.aviaryplatform.com/r/fq9q23r314
f-307ded74-111,,,,,307ded74,HVT-3022,,,https://fortunoff.aviaryplatform.com/r/8k74t6f705
f-307ded74-112,,,,,307ded74,HVT-0987,,,https://fortunoff.aviaryplatform.com/r/n29p26q866
f-307ded74-113,,,,,307ded74,HVT-1681,,,https://fortunoff.aviaryplatform.com/r/p55db7vz04
f-307ded74-114,,,,,307ded74,HVT-0206,,,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
f-307ded74-115,,,,,307ded74,HVT-0094,,,https://fortunoff.aviaryplatform.com/r/vd6nz80z8m
f-307ded74-116,,,,,307ded74,HVT-1126,,,https://fortunoff.aviaryplatform.com/r/930ns0kz17
f-307ded74-117,,,,,307ded74,HVT-4298,,,https://fortunoff.aviaryplatform.com/r/3f4kk94b2w
f-307ded74-118,,,,,307ded74,HVT-2342,,,https://fortunoff.aviaryplatform.com/r/9w08w3856g
f-307ded74-119,,,,,307ded74,HVT-0978,,,https://fortunoff.aviaryplatform.com/r/930ns0kx9f
f-307ded74-120,,,,,307ded74,HVT-0153,,,https://fortunoff.aviaryplatform.com/r/ft8df6k71d
f-307ded74-121,,,,,307ded74,HVT-1989,,,https://fortunoff.aviaryplatform.com/r/fn10p0wx8h
f-307ded74-122,,,,,307ded74,HVT-0358,,,https://fortunoff.aviaryplatform.com/r/g73707wt7r
f-307ded74-123,,,,,307ded74,HVT-1394,,,https://fortunoff.aviaryplatform.com/r/mg7fq9qc3m
f-307ded74-124,,,,,307ded74,HVT-0511,,,https://fortunoff.aviaryplatform.com/r/th8bg2hm23
f-307ded74-125,,,,,307ded74,HVT-3022,,,https://fortunoff.aviaryplatform.com/r/8k74t6f705
f-307ded74-126,,,,,307ded74,HVT-0934,,,https://fortunoff.aviaryplatform.com/r/251fj29b1q
f-307ded74-127,,,,,307ded74,HVT-0211,,,https://fortunoff.aviaryplatform.com/r/h41jh3d62g
f-307ded74-128,,,,,307ded74,HVT-0120,,,https://fortunoff.aviaryplatform.com/r/8g8ff3m15w
f-307ded74-129,,,,,307ded74,HVT-0152,,,https://fortunoff.aviaryplatform.com/r/bc3st7dx0h
f-307ded74-130,,,,,307ded74,HVT-2687,,,https://fortunoff.aviaryplatform.com/r/gb1xd0r067
f-307ded74-131,,,,,307ded74,HVT-0337,,,https://fortunoff.aviaryplatform.com/r/j678s4jv94
f-cf0d5af9-132,,,,,cf0d5af9,HVT-1125,,,https://fortunoff.aviaryplatform.com/r/n58cf9jf0w
f-cf0d5af9-133,,,,,cf0d5af9,HVT-0071,,,https://fortunoff.aviaryplatform.com/r/4b2x34mn6j
f-cf0d5af9-134,,,,,cf0d5af9,HVT-0224,,,https://fortunoff.aviaryplatform.com/r/zc7rn30h80
f-cf0d5af9-135,,,,,cf0d5af9,HVT-0664,,,https://fortunoff.aviaryplatform.com/r/fq9q23r314
f-cf0d5af9-136,,,,,cf0d5af9,HVT-3022,,,https://fortunoff.aviaryplatform.com/r/8k74t6f705
f-cf0d5af9-137,,,,,cf0d5af9,HVT-0987,,,https://fortunoff.aviaryplatform.com/r/n29p26q866
f-cf0d5af9-138,,,,,cf0d5af9,HVT-1681,,,https://fortunoff.aviaryplatform.com/r/p55db7vz04
f-cf0d5af9-139,,,,,cf0d5af9,HVT-0206,,,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
f-cf0d5af9-140,,,,,cf0d5af9,HVT-0094,,,https://fortunoff.aviaryplatform.com/r/vd6nz80z8m
f-cf0d5af9-141,,,,,cf0d5af9,HVT-1126,,,https://fortunoff.aviaryplatform.com/r/930ns0kz17
f-cf0d5af9-142,,,,,cf0d5af9,HVT-4298,,,https://fortunoff.aviaryplatform.com/r/3f4kk94b2w
f-cf0d5af9-143,,,,,cf0d5af9,HVT-2342,,,https://fortunoff.aviaryplatform.com/r/9w08w3856g
f-cf0d5af9-144,,,,,cf0d5af9,HVT-0978,,,https://fortunoff.aviaryplatform.com/r/930ns0kx9f
f-cf0d5af9-145,,,,,cf0d5af9,HVT-0153,,,https://fortunoff.aviaryplatform.com/r/ft8df6k71d
f-cf0d5af9-146,,,,,cf0d5af9,HVT-1989,,,https://fortunoff.aviaryplatform.com/r/fn10p0wx8h
f-6e0a4551-147,,,,,6e0a4551,HVT-3498,,,https://fortunoff.aviaryplatform.com/r/zc7rn30k30
f-6e0a4551-148,,,,,6e0a4551,HVT-3756,,,https://fortunoff.aviaryplatform.com/r/k93125qk0s
f-6e0a4551-149,,,,,6e0a4551,HVT-3757,,,https://fortunoff.aviaryplatform.com/r/v97zk55v79
f-6e0a4551-150,,,,,6e0a4551,HVT-3752,,,https://fortunoff.aviaryplatform.com/r/wd3pv6bj2s
f-6e0a4551-151,,,,,6e0a4551,HVT-3556,,,https://fortunoff.aviaryplatform.com/r/v69862bq2k
f-6e0a4551-152,,,,,6e0a4551,HVT-2199,,,https://fortunoff.aviaryplatform.com/r/z892805c94
f-6e0a4551-153,,,,,6e0a4551,HVT-2298,,,https://fortunoff.aviaryplatform.com/r/m32n58cs05
f-6e0a4551-154,,,,,6e0a4551,HVT-2205,,,https://fortunoff.aviaryplatform.com/r/mp4vh5cp1z
f-6e0a4551-155,,,,,6e0a4551,HVT-3591,,,https://fortunoff.aviaryplatform.com/r/dv1cj87r3v
f-6e0a4551-156,,,,,6e0a4551,HVT-2195,,,https://fortunoff.aviaryplatform.com/r/348gf0mw16
f-6e0a4551-157,,,,,6e0a4551,HVT-2197,,,https://fortunoff.aviaryplatform.com/r/cv4bn9x65r
f-6e0a4551-158,,,,,6e0a4551,HVT-2219,,,https://fortunoff.aviaryplatform.com/r/qj77s7j33j
f-6e0a4551-159,,,,,6e0a4551,HVT-2212,,,https://fortunoff.aviaryplatform.com/r/fj29882s43
f-6e0a4551-160,,,,,6e0a4551,HVT-2189,,,https://fortunoff.aviaryplatform.com/r/7659c6s26h
f-6e0a4551-161,,,,,6e0a4551,HVT-3592,,,https://fortunoff.aviaryplatform.com/r/j96057d27q
f-6e0a4551-162,,,,,6e0a4551,HVT-2215,,,https://fortunoff.aviaryplatform.com/r/0r9m32n66z
f-6e0a4551-163,,,,,6e0a4551,HVT-2214,,,https://fortunoff.aviaryplatform.com/r/j678s4jw9d
f-6e0a4551-164,,,,,6e0a4551,HVT-2210,,,https://fortunoff.aviaryplatform.com/r/x34mk65k6z
f-6e0a4551-165,,,,,6e0a4551,HVT-2202,,,https://fortunoff.aviaryplatform.com/r/8w3804xn77
f-6e0a4551-166,,,,,6e0a4551,HVT-2192,,,https://fortunoff.aviaryplatform.com/r/gx44q7qx44
f-6e0a4551-167,,,,,6e0a4551,HVT-3507,,,https://fortunoff.aviaryplatform.com/r/z60bv7b81f
f-6e0a4551-168,,,,,6e0a4551,HVT-2209,,,https://fortunoff.aviaryplatform.com/r/nc5s756r2g
f-6e0a4551-169,,,,,6e0a4551,HVT-3755,,,https://fortunoff.aviaryplatform.com/r/z02z31p01w
f-7d6c1e63-170,,,,,7d6c1e63,HVT-1305,,,https://fortunoff.aviaryplatform.com/r/rf5k931f1t
f-7d6c1e63-171,,,,,7d6c1e63,HVT-2211,,,https://fortunoff.aviaryplatform.com/r/ws8hd7p39b
f-7d6c1e63-172,,,,,7d6c1e63,HVT-2196,,,https://fortunoff.aviaryplatform.com/r/s46h12vh80
f-7d6c1e63-173,,,,,7d6c1e63,HVT-1306,,,https://fortunoff.aviaryplatform.com/r/zc7rn30j5b
f-7d6c1e63-174,,,,,7d6c1e63,HVT-2212,,,https://fortunoff.aviaryplatform.com/r/fj29882s43
f-33457a50-175,,,,,33457a50,HVT-2212,,,https://fortunoff.aviaryplatform.com/r/fj29882s43
f-33457a50-176,,,,,33457a50,HVT-3762,,,https://fortunoff.aviaryplatform.com/r/w08w950x5w
f-33457a50-177,,,,,33457a50,HVT-3583,,,https://fortunoff.aviaryplatform.com/r/319s17sq35
f-33457a50-178,,,,,33457a50,HVT-3501,,,https://fortunoff.aviaryplatform.com/r/7659c6s32j
f-33457a50-179,,,,,33457a50,HVT-3502,,,https://fortunoff.aviaryplatform.com/r/542j678x11
f-33457a50-180,,,,,33457a50,HVT-3009,,,https://fortunoff.aviaryplatform.com/r/nk3610w20z
f-33457a50-181,,,,,33457a50,HVT-3008,,,https://fortunoff.aviaryplatform.com/r/hh6c24qt7q
f-33457a50-182,,,,,33457a50,HVT-2780,,,https://fortunoff.aviaryplatform.com/r/707wm13s3v
f-33457a50-183,,,,,33457a50,HVT-2775,,,https://fortunoff.aviaryplatform.com/r/h41jh3d732
f-33457a50-184,,,,,33457a50,HVT-2786,,,https://fortunoff.aviaryplatform.com/r/r49g44j064
f-33457a50-185,,,,,33457a50,HVT-2785,,,https://fortunoff.aviaryplatform.com/r/j38kd1qq5m
f-33457a50-186,,,,,33457a50,HVT-2783,,,https://fortunoff.aviaryplatform.com/r/ks6j09wb0w
f-33457a50-187,,,,,33457a50,HVT-2789,,,https://fortunoff.aviaryplatform.com/r/5t3fx73z23
f-4e6e596f-188,,,,,4e6e596f,HVT-2191,,,https://fortunoff.aviaryplatform.com/r/f18sb3x11z
f-4e6e596f-189,,,,,4e6e596f,HVT-2205,,,https://fortunoff.aviaryplatform.com/r/mp4vh5cp1z
f-4e6e596f-190,,,,,4e6e596f,HVT-2202,,,https://fortunoff.aviaryplatform.com/r/8w3804xn77
f-4e6e596f-191,,,,,4e6e596f,HVT-2210,,,https://fortunoff.aviaryplatform.com/r/x34mk65k6z
